Razao;Codigo;Setor;Pais de Origem
NATIONAL OILWELL VARCO INC;N1OV34;"Petróleo, Gás e Biocombustíveis";EUA
NATWEST GROUP PLC;N1WG34;Financeiro;Reino Unido
NETAPP INC;N1TA34;Tecnologia;EUA
NETEASE;NETE34;Tecnologia;China
NETFLIX;NFLX34;Lojas de Música e Vídeo;EUA
NEUROCRINE BIOSCIENCES INC;N1BI34;Farmacêutico;EUA
NEW ORIENTAL EDU & TECH GROUP INC;E1DU34;Escolas;China
NEWELL BRAND;N1WL34;Bens de consumo;EUA
NEWMONT GOLD;N1EM34;Mineração;EUA
NEWS CORP;N1WS34;Comunicação;EUA
NEWS CORPORATION;N1WS35;Publicidade;EUA
NEXTERA ENER;NEXT34;Energia ;EUA
NICE LTD;N1IC34;Comunicação;Israel
NIELSEN HOLDINGS PLC;N1LS34;Serviços de informação;EUA
NISOURCE INC;N1IS34;Energia;EUA
NOKIA CORP;NOKI34;Tecnologia;Finlândia
NOMURA HO;NMRH34;Instituição Financeira;Japão
NORDSTROM IN;J1WN34;Roupas e Calçados;EUA
NORFOLK SOUTHERN CORP;N1SC34;Ferroviário;EUA
NORTHERN TRUST CORP;N1TR34;Serviços Financeiros ;EUA
NORTHROP GRU;NOCG34;Industrial;EUA
NORWEGIAN CR;N1CL34;Serviços – Viagens;EUA
NOVARTIS AG;N1VS34;Farmacêutico;Suíça
NOVO NORDISK A/S;N1VO34;Farmacêutico;Dinamarca
NRG ENERGY I;N1RG34;Energia;EUA
NUBANK;NUBR33;Financeiro;Brasil
NUCOR CORP;N1UE34;Aço e Metalurgia;EUA
NVIDIA CORP;NVDC34;Tecnologia;EUA
NVR INC;N1VR34;Construção;EUA
NXP SEMICOND;N1XP34;Semicondutores;EUA
OCCIDENT PTR;OXYP34;Energia ;EUA
OKTA INC;O1KT34;Comunicação;EUA
OLD DOMINION FREIGHT LINE INC;O1DF34;Transportadora;EUA
OMNICOM GROUP INC;O1MC34;Comunicação;EUA
ONEOK INC;O1KE34;"Petróleo, Gás e Biocombustíveis";EUA
O’REILLY AUT;ORLY34;Comércio – Auto peças;EUA
ORIX CORP;I1XC34;Financeiro;Japan
